mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__boosting_type,param_classifier__learning_rate,param_classifier__num_leaves,param_vectorizer__ngram_range,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
154.37229905128478,25.9938437925903,0.4055951118469238,0.053951533129206496,gbdt,0.1,40,"(1, 1)","{'classifier__boosting_type': 'gbdt', 'classifier__learning_rate': 0.1, 'classifier__num_leaves': 40, 'vectorizer__ngram_range': (1, 1)}",0.7875,0.8375,0.809375,0.821875,0.8375,0.81875,0.018853878911247967,9
188.91991319656373,23.192774437136094,1.0032336235046386,0.3720269723850968,gbdt,0.1,40,"(1, 2)","{'classifier__boosting_type': 'gbdt', 'classifier__learning_rate': 0.1, 'classifier__num_leaves': 40, 'vectorizer__ngram_range': (1, 2)}",0.784375,0.8375,0.828125,0.79375,0.825,0.8137500000000001,0.020785361435394858,11
278.1938866615295,10.507216669441492,1.5978877544403076,0.21583595147502652,gbdt,0.1,40,"(1, 3)","{'classifier__boosting_type': 'gbdt', 'classifier__learning_rate': 0.1, 'classifier__num_leaves': 40, 'vectorizer__ngram_range': (1, 3)}",0.759375,0.8375,0.803125,0.80625,0.821875,0.805625,0.026175489489214904,21
160.57512364387512,29.69608009394859,0.41738409996032716,0.06001985728803519,gbdt,0.1,50,"(1, 1)","{'classifier__boosting_type': 'gbdt', 'classifier__learning_rate': 0.1, 'classifier__num_leaves': 50, 'vectorizer__ngram_range': (1, 1)}",0.765625,0.825,0.796875,0.803125,0.8375,0.805625,0.024796043031096716,21
241.5471293926239,14.503716224371505,0.9849701404571534,0.11449084377550092,gbdt,0.1,50,"(1, 2)","{'classifier__boosting_type': 'gbdt', 'classifier__learning_rate': 0.1, 'classifier__num_leaves': 50, 'vectorizer__ngram_range': (1, 2)}",0.76875,0.828125,0.8125,0.79375,0.83125,0.806875,0.023251344047172846,20
250.99312887191772,15.28519342685496,1.4340994358062744,0.31664736582562286,gbdt,0.1,50,"(1, 3)","{'classifier__boosting_type': 'gbdt', 'classifier__learning_rate': 0.1, 'classifier__num_leaves': 50, 'vectorizer__ngram_range': (1, 3)}",0.790625,0.840625,0.803125,0.815625,0.828125,0.815625,0.017677669529663674,10
51.18824977874756,14.366144035109441,0.45038485527038574,0.045013376458187315,dart,0.001,10,"(1, 1)","{'classifier__boosting_type': 'dart', 'classifier__learning_rate': 0.001, 'classifier__num_leaves': 10, 'vectorizer__ngram_range': (1, 1)}",0.6625,0.665625,0.6375,0.66875,0.6625,0.659375,0.011180339887498959,78
95.87553668022156,8.971431323630167,0.8190725803375244,0.16017142649143423,dart,0.001,10,"(1, 2)","{'classifier__boosting_type': 'dart', 'classifier__learning_rate': 0.001, 'classifier__num_leaves': 10, 'vectorizer__ngram_range': (1, 2)}",0.690625,0.671875,0.6375,0.66875,0.65,0.6637500000000001,0.018392423711952724,77
104.0507161617279,13.479407833021115,1.1144892692565918,0.5034454722179387,dart,0.001,10,"(1, 3)","{'classifier__boosting_type': 'dart', 'classifier__learning_rate': 0.001, 'classifier__num_leaves': 10, 'vectorizer__ngram_range': (1, 3)}",0.69375,0.671875,0.6375,0.66875,0.65,0.6643749999999999,0.019324531042175384,76
92.41375751495362,8.667964637901092,0.43541841506958007,0.028424317648885818,dart,0.001,20,"(1, 1)","{'classifier__boosting_type': 'dart', 'classifier__learning_rate': 0.001, 'classifier__num_leaves': 20, 'vectorizer__ngram_range': (1, 1)}",0.65625,0.665625,0.596875,0.684375,0.634375,0.6475,0.029999999999999975,84
